run_id,trial_idx,start_x,start_y,start_yaw,goal_x,goal_y,goal_yaw,success,timeout,time_to_goal,path_length,path_efficiency,straight_line,min_clearance,mean_jerk,n_close_approach
dwb_corridor_001,1,2.15,6.09,-0.21,-0.16,0.15,0.0,True,False,50.985,7.3124,0.8716,6.3734,0.577,0.7871,0
dwb_corridor_001,2,-7.23,-0.4,1.07,-3.79,0.43,0.0,True,False,29.111,3.9769,0.8898,3.5387,0.6399,0.6847,0
dwb_corridor_001,3,-1.1,1.16,-0.71,0.49,5.34,0.0,True,False,44.244,5.1227,0.873,4.4722,0.8355,0.4869,2
dwb_corridor_001,4,-0.13,2.4,-2.42,-2.68,-0.31,0.0,True,False,36.25,4.042,0.9206,3.7211,0.6769,0.7071,0
dwb_corridor_001,5,0.74,0.49,-1.3,-8.8,0.89,0.0,True,False,85.0,11.7171,0.8149,9.5484,0.7928,0.7421,0
dwb_corridor_001,6,-8.45,-0.5,1.25,2.04,6.22,0.0,True,False,150.395,14.9458,0.8335,12.4579,0.6356,0.6722,0
dwb_corridor_001,7,-0.15,4.59,-2.54,-4.11,0.81,0.0,True,False,43.476,6.3341,0.8643,5.4745,1.0763,0.6279,0
dwb_corridor_001,8,1.33,2.37,0.5,-7.07,1.1,0.0,True,False,92.568,10.441,0.8137,8.4955,0.8873,0.8083,0
dwb_corridor_001,9,2.0,2.6,-0.08,-0.11,-0.8,0.0,True,False,53.588,4.9274,0.8121,4.0015,1.0349,0.7912,0
dwb_corridor_001,10,1.25,-0.31,1.08,-2.85,-0.58,0.0,True,False,37.421,4.9095,0.8369,4.1089,0.6766,0.5915,0
dwb_corridor_001,11,-0.24,4.12,1.55,-5.02,-0.7,0.0,True,False,56.683,8.1013,0.8379,6.7883,0.8189,0.5834,0
dwb_corridor_001,12,-6.61,-0.46,-2.02,0.47,-0.2,0.0,True,False,74.397,8.4387,0.8396,7.0848,0.4131,0.7959,0
dwb_corridor_001,13,-7.14,1.14,0.0,-0.17,6.76,0.0,True,False,83.573,11.3064,0.7919,8.9535,0.9655,0.5229,0
dwb_corridor_001,14,-6.74,-0.38,0.04,-1.37,-0.46,0.0,True,False,49.328,6.6115,0.8123,5.3706,0.7578,0.7133,1
dwb_corridor_001,15,-9.29,-0.57,-1.68,0.45,5.27,0.0,True,False,98.094,12.8609,0.883,11.3566,0.6411,0.8137,0
dwb_corridor_001,16,0.91,2.36,1.55,-6.53,0.51,0.0,True,False,70.053,8.517,0.9002,7.6666,0.8414,0.6716,0
dwb_corridor_001,17,-5.78,-0.28,-1.35,1.55,-0.09,0.0,True,False,60.383,8.65,0.8477,7.3325,0.5017,0.8315,0
dwb_corridor_001,18,-1.27,1.02,-0.12,1.89,6.29,0.0,True,False,60.743,7.0862,0.8672,6.1448,0.583,0.5128,0
dwb_corridor_001,19,1.85,0.65,0.73,-2.42,-0.69,0.0,True,False,38.752,5.2728,0.8488,4.4753,0.9401,0.6641,0
dwb_corridor_001,20,-1.45,1.34,-1.44,1.28,4.98,0.0,False,False,88.956,10.0861,0.4511,4.55,0.3,0.9032,0
