run_id,trial_idx,start_x,start_y,start_yaw,goal_x,goal_y,goal_yaw,success,timeout,time_to_goal,path_length,path_efficiency,straight_line,min_clearance,mean_jerk,n_close_approach
mppi_corridor_001,1,2.15,6.09,-0.21,-0.16,0.15,0.0,True,False,40.841,7.0423,0.905,6.3734,0.7528,0.8256,0
mppi_corridor_001,2,-7.23,-0.4,1.07,-3.79,0.43,0.0,True,False,25.088,3.9635,0.8928,3.5387,0.25,0.8454,1
mppi_corridor_001,3,-1.1,1.16,-0.71,0.49,5.34,0.0,True,False,25.44,4.8979,0.9131,4.4722,0.7379,0.8303,0
mppi_corridor_001,4,-0.13,2.4,-2.42,-2.68,-0.31,0.0,True,False,24.996,4.1132,0.9047,3.7211,1.1637,0.7425,0
mppi_corridor_001,5,0.74,0.49,-1.3,-8.8,0.89,0.0,True,False,47.443,10.0568,0.9494,9.5484,0.5584,0.5821,1
mppi_corridor_001,6,-8.45,-0.5,1.25,2.04,6.22,0.0,True,False,89.491,14.1963,0.8775,12.4579,0.25,0.97,1
mppi_corridor_001,7,-0.15,4.59,-2.54,-4.11,0.81,0.0,True,False,26.62,5.7309,0.9553,5.4745,0.6003,0.6872,0
mppi_corridor_001,8,1.33,2.37,0.5,-7.07,1.1,0.0,False,True,89.698,12.059,0.7045,8.4955,0.1602,0.8474,5
mppi_corridor_001,9,2.0,2.6,-0.08,-0.11,-0.8,0.0,True,False,22.508,4.4231,0.9047,4.0015,0.3372,0.6754,0
mppi_corridor_001,10,1.25,-0.31,1.08,-2.85,-0.58,0.0,True,False,25.209,4.2533,0.9661,4.1089,0.3833,0.7089,0
mppi_corridor_001,11,-0.24,4.12,1.55,-5.02,-0.7,0.0,True,False,46.332,7.593,0.894,6.7883,0.6091,0.8993,1
mppi_corridor_001,12,-6.61,-0.46,-2.02,0.47,-0.2,0.0,True,False,39.77,8.1378,0.8706,7.0848,0.8604,0.5341,0
mppi_corridor_001,13,-7.14,1.14,0.0,-0.17,6.76,0.0,True,False,42.25,10.116,0.8851,8.9535,0.9958,0.7594,0
mppi_corridor_001,14,-6.74,-0.38,0.04,-1.37,-0.46,0.0,True,False,31.336,5.9976,0.8955,5.3706,0.3943,0.6335,0
mppi_corridor_001,15,-9.29,-0.57,-1.68,0.45,5.27,0.0,True,False,67.601,11.368,0.999,11.3566,0.6464,0.7653,0
mppi_corridor_001,16,0.91,2.36,1.55,-6.53,0.51,0.0,True,False,53.177,8.6426,0.8871,7.6666,0.6963,0.7671,0
mppi_corridor_001,17,-5.78,-0.28,-1.35,1.55,-0.09,0.0,True,False,43.513,7.6381,0.96,7.3325,0.6123,0.7962,1
mppi_corridor_001,18,-1.27,1.02,-0.12,1.89,6.29,0.0,True,False,35.328,6.4622,0.9509,6.1448,0.6806,0.7111,0
mppi_corridor_001,19,1.85,0.65,0.73,-2.42,-0.69,0.0,True,False,26.994,4.678,0.9567,4.4753,0.6838,0.7514,2
mppi_corridor_001,20,-1.45,1.34,-1.44,1.28,4.98,0.0,True,False,37.544,5.3761,0.8463,4.55,0.5852,0.7734,0
