run_id,trial_idx,start_x,start_y,start_yaw,goal_x,goal_y,goal_yaw,success,timeout,time_to_goal,path_length,path_efficiency,straight_line,min_clearance,mean_jerk,n_close_approach
mppi_corridor_static_001,1,2.15,6.09,-0.21,-0.16,0.15,0.0,True,False,40.185,6.7457,0.9448,6.3734,1.2299,0.5754,0
mppi_corridor_static_001,2,-7.23,-0.4,1.07,-3.79,0.43,0.0,True,False,17.424,3.6566,0.9678,3.5387,1.1395,0.5022,0
mppi_corridor_static_001,3,-1.1,1.16,-0.71,0.49,5.34,0.0,True,False,18.94,4.6507,0.9616,4.4722,0.5101,0.4887,0
mppi_corridor_static_001,4,-0.13,2.4,-2.42,-2.68,-0.31,0.0,True,False,19.293,3.9653,0.9384,3.7211,0.5819,0.4805,0
mppi_corridor_static_001,5,0.74,0.49,-1.3,-8.8,0.89,0.0,True,False,42.737,9.9286,0.9617,9.5484,1.1551,0.4606,0
mppi_corridor_static_001,6,-8.45,-0.5,1.25,2.04,6.22,0.0,True,False,64.358,13.7466,0.9063,12.4579,1.0236,0.6277,0
mppi_corridor_static_001,7,-0.15,4.59,-2.54,-4.11,0.81,0.0,True,False,29.234,5.48,0.999,5.4745,0.8736,0.519,0
mppi_corridor_static_001,8,1.33,2.37,0.5,-7.07,1.1,0.0,True,False,39.037,9.2381,0.9196,8.4955,0.6945,0.6361,0
mppi_corridor_static_001,9,2.0,2.6,-0.08,-0.11,-0.8,0.0,True,False,19.289,4.0789,0.981,4.0015,1.1755,0.543,0
mppi_corridor_static_001,10,1.25,-0.31,1.08,-2.85,-0.58,0.0,True,False,18.123,4.2316,0.971,4.1089,1.0126,0.6152,0
mppi_corridor_static_001,11,-0.24,4.12,1.55,-5.02,-0.7,0.0,True,False,31.877,6.7951,0.999,6.7883,0.7927,0.5082,0
mppi_corridor_static_001,12,-6.61,-0.46,-2.02,0.47,-0.2,0.0,True,False,33.305,7.3798,0.96,7.0848,0.7981,0.4828,0
mppi_corridor_static_001,13,-7.14,1.14,0.0,-0.17,6.76,0.0,True,False,43.628,9.2772,0.9651,8.9535,0.6589,0.5208,0
mppi_corridor_static_001,14,-6.74,-0.38,0.04,-1.37,-0.46,0.0,True,False,22.296,5.5186,0.9732,5.3706,0.9193,0.6201,0
mppi_corridor_static_001,15,-9.29,-0.57,-1.68,0.45,5.27,0.0,True,False,65.018,12.2358,0.9281,11.3566,0.4787,0.732,0
mppi_corridor_static_001,16,0.91,2.36,1.55,-6.53,0.51,0.0,True,False,38.748,7.8781,0.9732,7.6666,0.5016,0.5048,0
mppi_corridor_static_001,17,-5.78,-0.28,-1.35,1.55,-0.09,0.0,True,False,37.111,7.5792,0.9674,7.3325,0.6676,0.5692,0
mppi_corridor_static_001,18,-1.27,1.02,-0.12,1.89,6.29,0.0,True,False,30.4,6.5022,0.945,6.1448,0.6922,0.4698,0
mppi_corridor_static_001,19,1.85,0.65,0.73,-2.42,-0.69,0.0,True,False,26.143,4.7544,0.9413,4.4753,1.4592,0.528,0
mppi_corridor_static_001,20,-1.45,1.34,-1.44,1.28,4.98,0.0,True,False,22.812,4.6091,0.9872,4.55,0.5008,0.4169,0
