run_id,trial_idx,start_x,start_y,start_yaw,goal_x,goal_y,goal_yaw,success,timeout,time_to_goal,path_length,path_efficiency,straight_line,min_clearance,mean_jerk,n_close_approach
rpp_corridor_001,1,2.15,6.09,-0.21,-0.16,0.15,0.0,True,False,40.987,6.9856,0.9124,6.3734,0.4663,0.7488,0
rpp_corridor_001,2,-7.23,-0.4,1.07,-3.79,0.43,0.0,True,False,22.537,3.6882,0.9595,3.5387,0.3282,0.8922,1
rpp_corridor_001,3,-1.1,1.16,-0.71,0.49,5.34,0.0,True,False,33.394,4.6558,0.9606,4.4722,0.5575,0.8514,2
rpp_corridor_001,4,-0.13,2.4,-2.42,-2.68,-0.31,0.0,True,False,21.42,3.789,0.9821,3.7211,0.5287,0.8527,3
rpp_corridor_001,5,0.74,0.49,-1.3,-8.8,0.89,0.0,True,False,58.898,9.9469,0.9599,9.5484,0.5144,0.6668,0
rpp_corridor_001,6,-8.45,-0.5,1.25,2.04,6.22,0.0,True,False,66.99,13.0489,0.9547,12.4579,0.5493,0.8357,1
rpp_corridor_001,7,-0.15,4.59,-2.54,-4.11,0.81,0.0,True,False,42.158,5.7489,0.9523,5.4745,0.2,0.8104,0
rpp_corridor_001,8,1.33,2.37,0.5,-7.07,1.1,0.0,True,False,50.287,8.7914,0.9663,8.4955,0.5763,0.9326,0
rpp_corridor_001,9,2.0,2.6,-0.08,-0.11,-0.8,0.0,True,False,22.409,4.3439,0.9212,4.0015,0.6584,0.9657,2
rpp_corridor_001,10,1.25,-0.31,1.08,-2.85,-0.58,0.0,True,False,27.132,4.1177,0.9979,4.1089,0.3546,0.8113,0
rpp_corridor_001,11,-0.24,4.12,1.55,-5.02,-0.7,0.0,True,False,48.447,7.3658,0.9216,6.7883,0.3564,0.9259,0
rpp_corridor_001,12,-6.61,-0.46,-2.02,0.47,-0.2,0.0,True,False,47.882,8.0417,0.881,7.0848,0.6246,0.8125,1
rpp_corridor_001,13,-7.14,1.14,0.0,-0.17,6.76,0.0,True,False,47.867,9.2161,0.9715,8.9535,0.6149,0.7479,3
rpp_corridor_001,14,-6.74,-0.38,0.04,-1.37,-0.46,0.0,True,False,33.442,5.6612,0.9487,5.3706,0.3753,1.0822,2
rpp_corridor_001,15,-9.29,-0.57,-1.68,0.45,5.27,0.0,True,False,71.488,12.4917,0.9091,11.3566,0.6807,0.8263,3
rpp_corridor_001,16,0.91,2.36,1.55,-6.53,0.51,0.0,True,False,58.508,8.9045,0.861,7.6666,0.4445,0.7645,0
rpp_corridor_001,17,-5.78,-0.28,-1.35,1.55,-0.09,0.0,True,False,43.192,7.6331,0.9606,7.3325,0.4033,0.9428,1
rpp_corridor_001,18,-1.27,1.02,-0.12,1.89,6.29,0.0,True,False,37.726,6.7481,0.9106,6.1448,0.4512,0.9672,0
rpp_corridor_001,19,1.85,0.65,0.73,-2.42,-0.69,0.0,True,False,28.75,4.7054,0.9511,4.4753,0.236,0.8349,0
rpp_corridor_001,20,-1.45,1.34,-1.44,1.28,4.98,0.0,True,False,29.151,4.9292,0.9231,4.55,0.5011,0.8684,0
