run_id,trial_idx,start_x,start_y,start_yaw,goal_x,goal_y,goal_yaw,success,timeout,time_to_goal,path_length,path_efficiency,straight_line,min_clearance,mean_jerk,n_close_approach
rpp_corridor_static_001,1,2.15,6.09,-0.21,-0.16,0.15,0.0,True,False,41.058,6.8558,0.9296,6.3734,0.7651,0.4408,0
rpp_corridor_static_001,2,-7.23,-0.4,1.07,-3.79,0.43,0.0,True,False,20.724,3.6545,0.9683,3.5387,0.7176,0.2834,0
rpp_corridor_static_001,3,-1.1,1.16,-0.71,0.49,5.34,0.0,True,False,21.95,4.686,0.9544,4.4722,0.9684,0.5332,0
rpp_corridor_static_001,4,-0.13,2.4,-2.42,-2.68,-0.31,0.0,True,False,20.009,3.8876,0.9572,3.7211,0.4,0.5926,0
rpp_corridor_static_001,5,0.74,0.49,-1.3,-8.8,0.89,0.0,True,False,55.369,9.5714,0.9976,9.5484,0.4,0.5446,0
rpp_corridor_static_001,6,-8.45,-0.5,1.25,2.04,6.22,0.0,True,False,62.12,13.4566,0.9258,12.4579,0.7416,0.64,0
rpp_corridor_static_001,7,-0.15,4.59,-2.54,-4.11,0.81,0.0,True,False,30.863,5.5657,0.9836,5.4745,0.8004,0.6258,0
rpp_corridor_static_001,8,1.33,2.37,0.5,-7.07,1.1,0.0,True,False,41.017,8.5165,0.9975,8.4955,0.5729,0.6491,0
rpp_corridor_static_001,9,2.0,2.6,-0.08,-0.11,-0.8,0.0,True,False,20.683,4.0055,0.999,4.0015,0.8686,0.6419,1
rpp_corridor_static_001,10,1.25,-0.31,1.08,-2.85,-0.58,0.0,True,False,21.294,4.1189,0.9976,4.1089,0.4065,0.5036,0
rpp_corridor_static_001,11,-0.24,4.12,1.55,-5.02,-0.7,0.0,True,False,36.23,7.0967,0.9565,6.7883,0.6243,0.599,0
rpp_corridor_static_001,12,-6.61,-0.46,-2.02,0.47,-0.2,0.0,True,False,35.644,7.4319,0.9533,7.0848,0.7389,0.5378,0
rpp_corridor_static_001,13,-7.14,1.14,0.0,-0.17,6.76,0.0,True,False,54.651,9.1894,0.9743,8.9535,0.6117,0.4856,0
rpp_corridor_static_001,14,-6.74,-0.38,0.04,-1.37,-0.46,0.0,True,False,25.277,5.5497,0.9677,5.3706,0.7092,0.7569,0
rpp_corridor_static_001,15,-9.29,-0.57,-1.68,0.45,5.27,0.0,True,False,64.97,11.7677,0.9651,11.3566,0.7515,0.491,1
rpp_corridor_static_001,16,0.91,2.36,1.55,-6.53,0.51,0.0,True,False,40.777,7.8329,0.9788,7.6666,1.0673,0.5901,0
rpp_corridor_static_001,17,-5.78,-0.28,-1.35,1.55,-0.09,0.0,True,False,32.247,7.3398,0.999,7.3325,0.8977,0.5634,0
rpp_corridor_static_001,18,-1.27,1.02,-0.12,1.89,6.29,0.0,True,False,30.265,6.6654,0.9219,6.1448,0.6972,0.4814,0
rpp_corridor_static_001,19,1.85,0.65,0.73,-2.42,-0.69,0.0,True,False,25.239,4.7414,0.9439,4.4753,1.1825,0.7036,0
rpp_corridor_static_001,20,-1.45,1.34,-1.44,1.28,4.98,0.0,True,False,25.561,4.5546,0.999,4.55,0.5344,0.689,0
